name,address
СИЗО-1 Кресты Колпино,"Санкт-Петербург и ЛО, г. Колпино ул. Колпинская д. 9 Сизо-1"
СИЗО-6 Москва Печатники,"г. Москва, ул. Шоссейная д. 92"
СИЗО-7 Капотня,"г. Москва, ул. Верхние Поля д. 57"
СИЗО-4 Медведь,"г. Москва, ул. Вилюйская д. 4"
СИЗО-1 Матросская тишина,"г. Москва, ул. Матросская Тишина д. 18, СИЗО-1"
СИЗО-2 Бутырка,"г. Москва, ул. Новослободская д. 45"
СИЗО-1 Тверь,"г. Тверь, ул. Вагжанова д. 141"
СИЗО-5 Водник,"г. Москва, ул. Выборгская д. 20 СИЗО-5"
СИЗО-2 Новокузнецк,"г. Новокузнецк, ул. Полосухина д. 3"
СИЗО-6 Горелово,"Санкт-Петербург и ЛО, Ломоносовский р-н поселение, ул. Заречная д. 22 СИЗО-6"
СИЗО-1 Екатеринбург,"г. Екатеринбург, ул. Репина д. 4, СИЗО-1"
СИЗО-1 Красноярск,"г. Красноярск, ул. Республики д. 72 СИЗО-1"
СИЗО-1 Новосибирск,"г. Новосибирск, ул. Караваева д. 1"
СИЗО-6 Коломна,"г. Коломна, ул. Гражданская д. 112"
СИЗО-5 Арсеналка,"г. Санкт- Петербург, ул. Арсенальная д. 11 СИЗО-5"
СИЗО-11 Ногинск,"г. Ногинск, ул. Ревсобраний д.17"
СИЗО-2 Лефортово ФСИН России,"г. Москва, Лефортовский вал д. 5"
СИЗО-3 Пресня,"г. Москва, 1-й Силикатный проезд д. 11, к. 1"
СИЗО-1  Курск,"г. Курск, ул. Пирогова д. 1"
СИЗО-1 Омск,"г. Омск, ул. Орджоникидзе д. 86 СИЗО-1"
СИЗО-12 Зеленоград,"г. Зеленоград, ул. Панфилова д. 21"
ИК-6 Коломна,"г. Коломна,  мкр. Колычево, Колычевский проезд д. 6"
СИЗО-2 Волоколамск,"г. Волоколамск, ул. Горвал д. 6"
СИЗО-1 Тюмень,"г. Тюмень, ул. Ялуторовская д. 42"
СИЗО-1 Краснодар,"г. Краснодар, ул. Воронежская д. 42"
ИК-4 Форносово,"Ленинградская область, Тосненский р-н, Форносово пгт, ул.Дальняя, д.3"
СИЗО-1 Ярославль,"г. Ярославль, ул. Портовая набережная д.10 СИЗО-1"
ИК-5  Кирово- Чепецк,"г. Кирово- Чепецк, ул. Овражная д. 16"
ИК-7 Яблоневка,"Санкт-Петербург и ЛО, г. Санкт- Петербург ул. Латышских Стрелков д. 22, ИК-7"
ИК-5 Металлострой,"Санкт- Петербург, пос. Металлострой, ул. Северный проезд д. 1 ИК-5"
СИЗО-1 Уфа,"г. Уфа, ул. Достоевского, д. 39"
КП-13 Тагара,"Кежемский р- н, пос. Тагара"
